DEPARTAMENTO;CATEGORIA;PORCENTAJE;SUCURSAL;AÑO
VENTANAS Y PUERTAS CORREDIZAS;VENTANA Y PUERTA PANORAMICA;10,05%;CATIA;2026
VENTANAS Y PUERTAS CORREDIZAS;VENTANA Y PUERTA CARONI;4,37%;CATIA;2026
VENTANAS Y PUERTAS CORREDIZAS;VENTANA BELGLASS;0,55%;CATIA;2026
VENTANAS Y PUERTAS CORREDIZAS;VENTANA VISTAGLASS;0,79%;CATIA;2026
VENTANAS Y PUERTAS CORREDIZAS;VENTANA Y PUERTA CORREDERA SERIE 1000;1,22%;CATIA;2026
VENTANAS Y PUERTAS CORREDIZAS;PUERTA DE VITRINA;0,54%;CATIA;2026
VENTANAS Y PUERTAS CORREDIZAS;VENTANA ECOBEL;0,26%;CATIA;2026
VENTANAS Y PUERTAS CORREDIZAS;VENTANA Y PUERTA AMPLITUD;0,05%;CATIA;2026
VENTANAS ABATIBLES;VENTANA PROYECTANTE COMERCIAL;0,24%;CATIA;2026
VENTANAS ABATIBLES;VENTANA PROYECTANTE LONDON;0,33%;CATIA;2026
VENTANAS ABATIBLES;VENTANA PIVOTANTE;0,20%;CATIA;2026
VENTANAS ABATIBLES;PIVOTANTE;0,00%;CATIA;2026
DIVISIONES DE AMBIENTE;PAÑO FIJO;3,09%;CATIA;2026
DIVISIONES DE AMBIENTE;ROMANILLA;0,34%;CATIA;2026
DIVISIONES DE AMBIENTE;ROMANILLAS;0,00%;CATIA;2026
DIVISIONES DE AMBIENTE;CURTAIN WALL JUNTA POSITIVA Y JUNTA NEGATIVA;0,19%;CATIA;2026
PERFILES ESTANDAR;ANGULOS Y PLETINAS;7,36%;CATIA;2026
PERFILES ESTANDAR;TUBOS RECTANGULARES UES TES Y REMATES;8,45%;CATIA;2026
PERFILES ESTANDAR;TUBOS CUADRADOS Y REDONDOS;3,64%;CATIA;2026
PRODUCTOS ESTANDAR;VENTANAS ECO;0,21%;CATIA;2026
