MESES;AÑO; META ;SUCURSAL
ENERO;2026;153.935,00;CATIA
FEBRERO;2026;143.850,00;CATIA
MARZO;2026;170.391,73;CATIA
ABRIL;2026;148.454,05;CATIA
MAYO;2026;183.487,99;CATIA
JUNIO;2026;196.088,20;CATIA
JULIO;2026;199.966,28;CATIA
AGOSTO;2026;189.723,02;CATIA
SEPTIEMBRE;2026;198.630,20;CATIA
OCTUBRE;2026;192.572,60;CATIA
NOVIEMBRE;2026;184.378,71;CATIA
DICIEMBRE;2026;204.400,62;CATIA
ENERO;2026;107.230,00;LA GUAIRA
FEBRERO;2026;100.960,00;LA GUAIRA
MARZO;2026;119.920,80;LA GUAIRA
ABRIL;2026;106.701,32;LA GUAIRA
MAYO;2026;131.882,14;LA GUAIRA
JUNIO;2026;140.947,90;LA GUAIRA
JULIO;2026;143.725,93;LA GUAIRA
AGOSTO;2026;136.363,58;LA GUAIRA
SEPTIEMBRE;2026;142.765,62;LA GUAIRA
OCTUBRE;2026;138.372,20;LA GUAIRA
NOVIEMBRE;2026;132.522,36;LA GUAIRA
DICIEMBRE;2026;146.926,91;LA GUAIRA
ENERO;2026;107.230,00;MARICHE
FEBRERO;2026;100.960,00;MARICHE
MARZO;2026;119.920,80;MARICHE
ABRIL;2026;106.701,32;MARICHE
MAYO;2026;131.882,14;MARICHE
JUNIO;2026;140.947,90;MARICHE
JULIO;2026;143.725,93;MARICHE
AGOSTO;2026;136.363,58;MARICHE
SEPTIEMBRE;2026;142.765,62;MARICHE
OCTUBRE;2026;138.372,20;MARICHE
NOVIEMBRE;2026;132.522,36;MARICHE
DICIEMBRE;2026;146.926,91;MARICHE
ENERO;2026;25.675,00;ALUMINIOLOGO WEB
FEBRERO;2026;21.615,00;ALUMINIOLOGO WEB
MARZO;2026;28.564,71;ALUMINIOLOGO WEB
ABRIL;2026;32.474,34;ALUMINIOLOGO WEB
MAYO;2026;40.137,99;ALUMINIOLOGO WEB
JUNIO;2026;42.894,42;ALUMINIOLOGO WEB
JULIO;2026;43.742,61;ALUMINIOLOGO WEB
AGOSTO;2026;41.501,90;ALUMINIOLOGO WEB
SEPTIEMBRE;2026;43.450,35;ALUMINIOLOGO WEB
OCTUBRE;2026;42.077,03;ALUMINIOLOGO WEB
NOVIEMBRE;2026;40.332,83;ALUMINIOLOGO WEB
DICIEMBRE;2026;44.716,85;ALUMINIOLOGO WEB
ENERO;2026;25.675,00;DISTRIBUIDORES
FEBRERO;2026;21.615,00;DISTRIBUIDORES
MARZO;2026;28.564,71;DISTRIBUIDORES
ABRIL;2026;32.474,34;DISTRIBUIDORES
MAYO;2026;40.137,99;DISTRIBUIDORES
JUNIO;2026;42.894,42;DISTRIBUIDORES
JULIO;2026;43.742,61;DISTRIBUIDORES
AGOSTO;2026;41.501,90;DISTRIBUIDORES
SEPTIEMBRE;2026;43.450,35;DISTRIBUIDORES
OCTUBRE;2026;42.077,03;DISTRIBUIDORES
NOVIEMBRE;2026;40.332,83;DISTRIBUIDORES
DICIEMBRE;2026;44.716,85;DISTRIBUIDORES
ENERO;2026; 0,01 ;GUATIRE
FEBRERO;2026; 0,01 ;GUATIRE
MARZO;2026;38.730,34;GUATIRE
ABRIL;2026;37.113,50;GUATIRE
MAYO;2026;45.872,08;GUATIRE
JUNIO;2026;47.225,84;GUATIRE
JULIO;2026;49.991,66;GUATIRE
AGOSTO;2026;47.430,84;GUATIRE
SEPTIEMBRE;2026;49.657,64;GUATIRE
OCTUBRE;2026;48.123,17;GUATIRE
NOVIEMBRE;2026;46.094,76;GUATIRE
DICIEMBRE;2026;51.105,16;GUATIRE
