DEPARTAMENTO;CATEGORIA;METROS
VENTANAS Y PUERTAS CORREDIZAS;VENTANA Y PUERTA PANORAMICA;4,86
;VENTANA Y PUERTA AMPLITUD;1,62
;VENTANA VISTAGLASS;1,62
;PUERTA DE VITRINA;1,62
;VENTANA Y PUERTA CARONI;3,24
;VENTANA BELGLASS;1,62
;VENTANA ECOBEL;1,62
;VENTANA CORREDERA Y CORTIZO;0
;PUERTA TELESCOPICA;0
;VENTANA Y PUERTA CORREDERA SERIE 1000;0
;PUERTA AUTOMATICA;0
;;
VENTANAS ABATIBLES;VENTANA PROYECTANTE COMERCIAL;1,62
;VENTANA PROYECTANTE LONDON;1,62
;VENTANA PIVOTANTE;1,62
;;
DIVISIONES DE AMBIENTE;PAÑO FIJO;1,62
;ROMANILLA;1,62
;CURTAIN WALL JUNTA POSITIVA Y JUNTA NEGATIVA;1,62
;SPYDER;0
;;
PERFILES ESTANDAR;TUBOS CUADRADOS Y REDONDOS;1,62
;ANGULOS Y PLETINAS;1,62
;TUBOS RECTANGULARES UES TES Y REMATES;1,62
;;
PRODUCTOS ESTANDAR;ESPEJOS ECO;8,1
;PUERTAS ECO;3,24
;PUERTAS DE DUCHA ECO;3,24
;PERSIANAS ECO;1,62
;TOLDO ECO;0
;VENTANAS ECO;6,48
;;
PUERTAS EXTERIORES;PUERTA BANCARIA TIPO P;1,62
;PUERTA BATIENTE ENMARCADA;1,62
;VENTANA Y PUERTA SANARE;1,62
;;
PUERTAS INTERIORES;SISTEMA PUERTA TODOVISION;1,62
;SISTEMA PUERTA TODOVISION SUPERFICIAL;1,62
;SISTEMA PUERTA EURO PIVOT;1,62
;SISTEMA PUERTA MINI EURO PIVOT;1,62
;SISTEMA PUERTA PLEGABLE;1,62
;;
BARANDAS;BARANDA ZOCALO;1,62
;BARANDA SEPARADORES;1,62
;BARANDA BASTONES A PRESION;1,62
;BARANDA INOX;1,62
;BARANDA BASTONES PERFORACION;1,62
;;
PUERTAS DE BAÑO;PUERTA DE DUCHA  BATIENTE;1,62
;PUERTA DE DUCHA SLIDER TUBO RECTANGULAR;1,62
;PUERTA SLIDER TUBO REDONDO;1,62
;PUERTA DE BAÑO TEMPLEX;1,62
;PUERTA DE BAÑO ACRILICO;1,62
;PUERTA DE DUCHA SLIDER TUBO RECTANGULAR PLUS;1,62
;TABIQUE DE BAÑOS MACHIMBRADO;1,62
;;
VIDRIOS;VIDRIO MONOLITICO;3,24
;VIDRIO LAMINADO Y ESPECIALES;3,24
;;
SIL Y SELL;SILICONES Y SELLADORES SIMBI;1,62
;;
HERRAMIENTAS;HERRAMIENTAS;0
;HERRAMIENTAS HOTECHE;1,62
;HERRAMIENTAS HARDEN;1,62
;;
IMPULSO;TORNILLOS Y RAMPLUGS;1,62
;MECHAS Y PUNTAS;1,62
;REMACHES;1,62
;SILICONES DE IMPULSO;1,62
;SPRAY;1,62
;REGATONES;1,62
;;
CERRADURAS Y CANDADOS;CERRADURAS Y CANDADO;1,62
;;0
;;
PERSIANAS Y MOSQUITEROS;PERSIANA SHEER;1,62
;PERSIANA ROLLER;1,62
;MOSQUITERO ROLLER - MOSQUITERO FIJO;1,62
;TOLDOS;0
;CORTINAS;0
;;
LAMINAS;LÁMINAS DE POLICARBONATO;1,62
;LAMINAS DE ALUMINIO Y ALUCOBOND;1,62
;DRYWALL;3,24
;ILUMINACION;1,62
;;
PT CON INSTALACION;PT ALUMINIO Y VIDRIO;1,62
;PT TEMPLADO;1,62
;PT PERSIANAS;1,62
;;
CARPINTERIA;VITRINA PARA MUEBLES;1,62
;;
PAPEL NANO.;PAPEL NANOCERAMICO;1,62
;;
SERVICIOS;SERVICIO DE CANTO PULIDO;0
;PERFORACIONES;0
;SERVICIO DE CORTE Y MECANIZADO;0
;CURRIER;0
;SERVICIO DE FLETE;0
;;
MUESTRAS Y CATALOGOS;CATALOGOS;0
;MUESTRAS Y CODOS;0
;;
